"net_name","ei","modularity","smi","rwc","bp","aei"
"arvopohja_p2.edgelist",-0.485197368421053,0.239052220394737,0.497035840381498,0.547103057978294,0.428002494138858,0.484234333564738
"arvopohja_p2.edgelist_conf_1",-0.517302573203194,0.258680811161701,0.536794410153513,0.565200927419584,0.405988735290683,0.519382417700501
"arvopohja_p2.edgelist_conf_2",-0.536388140161725,0.253175531515561,0.475599897541229,0.522477467982652,0.444797545759084,0.530115325669156
"digitalisaatio_p1.edgelist",-0.943870014771049,0.319555384887275,0.973203240720479,0.739085511219998,0.442550505050505,0.941422076452659
"digitalisaatio_p1.edgelist_conf_1",-0.789310611928737,0.371602004222764,0.832074696994966,0.505331947633996,0.480868686868687,0.794145491388444
"digitalisaatio_p1.edgelist_conf_2",-0.789889415481833,0.390901671870204,0.848578160953115,0.435722270748772,0.448749055177627,0.789437923536465
"digitalisaatio_p2.edgelist",-0.965644171779141,0.302870262335805,0.88259613001435,0.874197539630378,0.513194444444444,0.966798598235026
"digitalisaatio_p2.edgelist_conf_1",-0.872170439414115,0.347598674470435,0.745061055826588,0.64001023234335,0.4765664160401,0.86865242636833
"digitalisaatio_p2.edgelist_conf_2",-0.823684210526316,0.372458448753463,0.728610073365038,0.597087056122975,0.485296574770259,0.821745438499943
"digitalisaatio_p3.edgelist",-0.921835174171623,0.375686930685779,0.963186118471304,0.744661153559726,0.491211484593838,0.923714788830735
"digitalisaatio_p3.edgelist_conf_1",-0.82780269058296,0.403637314243198,0.857176999170587,0.572185697415558,0.437432848276222,0.82715089993983
"digitalisaatio_p3.edgelist_conf_2",-0.835013748854262,0.373466433556446,0.868405982684402,0.576098520283008,0.466198560475669,0.830336992459261
"eduskunta_p2.edgelist",-0.942408376963351,0.458899838271977,0.95253352525914,0.7713538187459,0.38286346589918,0.944271021350132
"eduskunta_p2.edgelist_conf_1",-0.776098901098901,0.364275147928994,0.801930147349663,0.567525143125596,0.410033112571628,0.772951838427942
"eduskunta_p2.edgelist_conf_2",-0.764305177111717,0.321446072062307,0.877910434099022,0.507046549772684,0.446378190774743,0.760114922717284
"eduskunta_p3.edgelist",-0.975095785440613,0.255655377930447,0.92531461525488,0.892954290819086,0.41969696969697,0.971586392493761
"eduskunta_p3.edgelist_conf_1",-0.775100401606426,0.354953952355607,0.912747920612045,0.658742506520861,0.462068505087986,0.77525837784829
"eduskunta_p3.edgelist_conf_2",-0.770091556459817,0.384299107202918,0.767879739125745,0.675741476870732,0.429966011000494,0.770751648191369
"eduskuntavaalit2019_p2.edgelist",-0.91264367816092,0.435048223014929,0.937071529723405,0.852823516201291,0.42233893557423,0.913953564968038
"eduskuntavaalit2019_p2.edgelist_conf_1",-0.891491985203453,0.268399518944963,NA,0.759723720380629,0.564141414141414,0.887206054461604
"eduskuntavaalit2019_p2.edgelist_conf_2",-0.997506234413965,0.0099128736761587,NA,0.911068110396933,1,0.997137815627278
"eduskuntavaalit_p1.edgelist",-0.876567020250723,0.429477732759639,0.913464072523978,0.52454357257811,0.389125770719138,0.886720039490919
"eduskuntavaalit_p1.edgelist_conf_1",-0.685442284807616,0.324654575504674,0.772346238486706,0.337633834732067,0.467235712723896,0.687316306599706
"eduskuntavaalit_p1.edgelist_conf_2",-0.715641684793356,0.357211005922634,0.686725548062439,0.357046802928539,0.42655950182114,0.715671796996077
"eurovaalit2019_p2.edgelist",-0.849076517150396,0.423190453979017,0.859694340459332,0.51767587055408,0.38017948126899,0.849024173041024
"eurovaalit2019_p2.edgelist_conf_1",-0.554134929270947,0.278313378192931,0.472304744670077,0.219689167111721,0.465111148948398,0.559234696756488
"eurovaalit2019_p2.edgelist_conf_2",-0.589273498426597,0.291738261618018,0.596694349121631,0.244612800368751,0.432699489837767,0.587951230373528
"eurovaalit_p2.edgelist",-0.807721810278701,0.398930276901927,0.796786387091202,0.448949144990667,0.439051637645071,0.806937036723086
"eurovaalit_p2.edgelist_conf_1",-0.638874137015401,0.320448014476171,0.558884582869674,0.353592153143845,0.446403018867402,0.643655538381784
"eurovaalit_p2.edgelist_conf_2",-0.665431445209105,0.324353386368547,0.580582524672252,0.371222138932415,0.452173435182835,0.663316480276102
"euvaalit2019_p3.edgelist",-0.896629213483146,0.438940088933777,0.922497686848243,0.707104630813315,0.409781746031746,0.897738947623676
"euvaalit2019_p3.edgelist_conf_1",-0.812703583061889,0.333937230103237,0.927161478382089,0.609712842328734,0.485048348841452,0.811117142099806
"euvaalit2019_p3.edgelist_conf_2",-0.864187550525465,0.339038367657429,0.894086322241969,0.661405454187378,0.448507180650038,0.858713389949792
"hallitus_p1.edgelist",-0.800257179597085,0.396704397241979,0.814090794302459,0.622042963439154,0.426894670720475,0.799791508169825
"hallitus_p1.edgelist_conf_1",-0.793165467625899,0.380119106153926,0.731920089199717,0.623452030329739,0.430354026468674,0.792128586838254
"hallitus_p1.edgelist_conf_2",-0.766044606281293,0.379398480445363,0.748542836746167,0.584910658139379,0.421314746053031,0.765801173631579
"hallitus_p2.edgelist",-0.875532821824382,0.435837895705374,0.854278157224057,0.785206679843635,0.426254540478678,0.875711035164571
"hallitus_p2.edgelist_conf_1",-0.820652173913043,0.409794423440454,0.777380191153538,0.65308549905287,0.403983134920635,0.820874252762648
"hallitus_p2.edgelist_conf_2",-0.819469026548673,0.374945571305505,0.858149725647044,0.646917816234961,0.420854218880535,0.818371806964598
"hallitus_p3.edgelist",-0.860252004581902,0.395750115794045,0.786884592918746,0.604646927671041,0.425920253750442,0.857510126584259
"hallitus_p3.edgelist_conf_1",-0.68655303030303,0.328681882747934,0.733718771479763,0.334915107136084,0.43797323082419,0.681914157898173
"hallitus_p3.edgelist_conf_2",-0.668008524745442,0.331587073012044,0.629479698415126,0.337368874604317,0.43316982901722,0.667649818404259
"hallitusohjelma_p2.edgelist",-0.824270353302611,0.40436393496004,0.876636483877713,0.427799097018857,0.448759797524926,0.823705933129252
"hallitusohjelma_p2.edgelist_conf_1",-0.736511919698871,0.368508042234918,0.782460832576432,0.337609590267673,0.463269707416766,0.736710246328153
"hallitusohjelma_p2.edgelist_conf_2",-0.746071653048397,0.342871455203907,0.641308050167195,0.327326829816037,0.46903603530833,0.741965478640812
"hyvinvointi_p1.edgelist",-0.928421052631579,0.422063157894737,0.940847679567576,0.625489465738778,0.419960917635336,0.927718060010209
"hyvinvointi_p1.edgelist_conf_1",-0.841509433962264,0.42064791740833,0.848634192950059,0.536751144999503,0.463458706242211,0.841793943012191
"hyvinvointi_p1.edgelist_conf_2",-0.870110701107011,0.392053485110497,0.910169377265459,0.550045814171306,0.456920634920635,0.867261625771568
"hyvinvointi_p2.edgelist",-0.939338235294118,0.469621810121107,0.934080769566086,0.776064237971499,0.420952380952381,0.939479600048532
